Air;Hydrogen;Steam
0.81539126;0.18460874;0
0.80726188;0.184436471;0.008301649
0.796820492;0.184503602;0.018675906
0.784007903;0.185612237;0.03037986
0.773608847;0.185648231;0.040742922
0.761478271;0.185803577;0.052718153
0.746593022;0.186454809;0.066952169
0.720121214;0.187781053;0.092097733
0.703389702;0.189109814;0.107500484
0.685438403;0.18940655;0.125155047
0.669394251;0.189807026;0.140798723
0.656343925;0.189883925;0.15377215
0.643295467;0.190195711;0.166508822
0.62848317;0.189983254;0.181533576
0.609461328;0.190472084;0.200066587
0.587876741;0.190770001;0.221353258
0.572033591;0.190590194;0.237376215
0.556984647;0.190991678;0.252023676
0.543184194;0.190475875;0.266339931
0.530741202;0.191235886;0.278022912
0.522711436;0.19134939;0.285939174
0.514342056;0.192121968;0.293535976
0.505749292;0.191834323;0.302416385
0.498400934;0.191607638;0.309991428
0.491955298;0.19258982;0.315454882
0.484602635;0.195198831;0.320198533
0.478023688;0.198656787;0.323319525
0.468262129;0.205946309;0.325791561
0.461225209;0.2130261;0.325748691
0.457999141;0.21729225;0.324708608
0.454353066;0.223273823;0.322373111
0.451953334;0.230430715;0.317615951
0.450877349;0.237971951;0.3111507
0.450424974;0.242034857;0.307540169
0.448478676;0.253563222;0.297958102
0.4472032;0.26837307;0.28442373
0.445704187;0.281928532;0.272367281
0.444883773;0.295243762;0.259872465
0.44417427;0.30948317;0.24634256
0.444023933;0.326476672;0.229499395
0.442862736;0.340360179;0.216777085
0.442500712;0.350715048;0.20678424
0.442360965;0.362818844;0.194820191
0.441941584;0.382225412;0.175833004
0.441364351;0.397782549;0.1608531
0.441324616;0.415775497;0.142899887
0.441284353;0.434007501;0.124708147
0.440831887;0.454447664;0.104720449
0.440754955;0.468363673;0.090881372
0.440404674;0.478696651;0.080898675
0.44048202;0.493069917;0.066448063
0.440203522;0.503847498;0.05594898
0.440333147;0.516306174;0.043360679
0.440066899;0.530053859;0.029879242
0.440272971;0.543499482;0.016227546
0.440306189;0.559693811;0
0.81539126;0.18460874;0
