Air;Hydrogen;Steam
0.440306189;0.559693811;0
0.215763717;0.784236281;0
0.216526626;0.762032301;0.021441072
0.218132028;0.739471169;0.042396803
0.220155598;0.721907855;0.057936547
0.221054917;0.714081904;0.064863179
0.223550883;0.690224726;0.086224391
0.226061302;0.663957395;0.109981303
0.227202026;0.65550486;0.117293114
0.228436963;0.643045748;0.128517289
0.229041283;0.632274685;0.138684032
0.231006694;0.614605352;0.154387954
0.232383611;0.599515878;0.168100511
0.233404377;0.587728745;0.178866878
0.233423909;0.582015468;0.184560622
0.234243838;0.571200454;0.194555708
0.235748038;0.551870509;0.212381453
0.236705705;0.537153838;0.226140457
0.237476736;0.523909066;0.238614198
0.238422633;0.512583787;0.24899358
0.2388269;0.502147536;0.259025565
0.239515643;0.492589671;0.267894685
0.240139856;0.48268597;0.277174173
0.240793775;0.474043303;0.285162922
0.241231835;0.463085067;0.295683097
0.242502527;0.446020426;0.311477047
0.243572987;0.430686141;0.325740872
0.244629578;0.419433283;0.33593714
0.246488946;0.402418946;0.351092107
0.249051863;0.385801428;0.365146709
0.251132659;0.372683893;0.376183448
0.253286944;0.360955462;0.385757594
0.256242047;0.343876414;0.399881539
0.259510757;0.326575015;0.413914228
0.263330808;0.308186437;0.428482756
0.265400698;0.297930205;0.436669097
0.269455329;0.279360631;0.451184039
0.272555127;0.265270261;0.462174612
0.27770977;0.245205743;0.477084487
0.280488202;0.233380219;0.486131579
0.286420511;0.214623955;0.498955534
0.289594195;0.207871509;0.502534297
0.291728497;0.203556362;0.504715141
0.293588817;0.199895977;0.506515206
0.296021483;0.196310282;0.507668235
0.297083081;0.19496161;0.507955308
0.298111638;0.192061873;0.509826489
0.29899156;0.188354939;0.512653501
0.299727817;0.182205628;0.518066555
0.300464023;0.176056709;0.523479267
0.301697799;0.167699633;0.530602568
0.303606614;0.154646107;0.541747278
0.305185484;0.141945918;0.552868598
0.307822612;0.123781919;0.568395469
0.308807989;0.117142949;0.574049062
0.311501846;0.110773245;0.577724909
0.315826708;0.104375073;0.579798219
0.319756313;0.099246534;0.580997153
0.324730327;0.093932467;0.581337206
0.329572041;0.089248581;0.581179379
0.334670983;0.085901605;0.579427412
0.339898527;0.083279472;0.576822002
0.347282733;0.079575557;0.573141709
0.353225409;0.078117159;0.568657431
0.358970689;0.07737815;0.563651161
0.365826974;0.076251192;0.557921834
0.373141294;0.074894664;0.551964042
0.379214055;0.074217433;0.546568513
0.384438425;0.073571072;0.541990503
0.390381627;0.072789907;0.536828466
0.397110293;0.071389314;0.531500393
0.410915506;0.070173633;0.518910861
0.422580075;0.069035402;0.508384523
0.437539568;0.067464156;0.494996276
0.449771886;0.066448916;0.483779197
0.463607116;0.064711871;0.471681013
0.485822427;0.064191428;0.449986145
0.499223998;0.063850608;0.436925393
0.513348163;0.062866235;0.423785602
0.526494298;0.061526215;0.411979487
0.543435332;0.060656304;0.395908364
0.563586918;0.05891272;0.377500363
0.579318353;0.057623384;0.363058263
0.599393323;0.056753339;0.343853338
0.615796683;0.055610109;0.328593208
0.641161601;0.054290149;0.30454825
0.66360992;0.052969984;0.283420096
0.688234292;0.051701861;0.260063847
0.714376636;0.049432006;0.236191358
0.741375724;0.04893549;0.209688786
0.764227926;0.048972828;0.186799245
0.788976148;0.048634041;0.16238981
0.810424355;0.049136893;0.140438752
0.834430338;0.046649545;0.118920116
0.854283231;0.047223442;0.098493327
0.868550358;0.048329006;0.083120636
0.8883261;0.049840909;0.061832991
0.906144866;0.050785048;0.043070087
0.923476573;0.050706364;0.025817063
0.939994497;0.051037;0.008968503
0.949301377;0.050698623;0
0.81539126;0.18460874;0
